#{"t_start": 1765298948.6752565, "env_id": "None"}
r,l,t
-420.613495,1351,124.580241
-673.816134,2551,331.122119
-439.609878,1351,418.05632
-1032.871184,4463,700.079813
-2161.670952,12479,1646.862994
-2013.838058,12479,2233.2059
-1878.696743,12479,2722.599652
-1858.506467,12479,3140.366615
-1706.087903,12479,3552.749948
-1648.368536,12479,3930.983887
-1343.174883,12479,4329.575414
-1277.970875,12479,4745.486665
-1256.514878,12479,5161.895469
-1274.455511,12479,5557.704792
-1033.686418,12479,5966.024416
-973.024927,12479,6376.732514
-925.982691,12479,6755.800394
-930.820772,12479,7131.76712
-904.265507,12479,7491.53831
-964.417029,12479,7999.322316
-787.176195,12479,8430.039624
